一级学科代码,一级学科名称,评估结果,学校名称1,学校名称2,学校名称3,学校名称4,学校名称5,学校名称6,学校名称7,学校名称8,学校名称9,学校名称10,学校名称11,学校名称12,学校名称13,学校名称14,学校名称15,学校名称16,学校名称17,学校名称18,学校名称19,学校名称20,学校名称21,学校名称22,学校名称23,学校名称24,学校名称25,学校名称26,学校名称27
601,考古学,B+,南京大学,山东大学,郑州大学,四川大学,,,,,,,,,,,,,,,,,,,,,,,
601,考古学,B,浙江大学,武汉大学,中山大学,,,,,,,,,,,,,,,,,,,,,,,,
601,考古学,B-,中国人民大学,首都师范大学,南开大学,复旦大学,,,,,,,,,,,,,,,,,,,,,,,
601,考古学,C+,河北师范大学,厦门大学,河南大学,重庆师范大学,,,,,,,,,,,,,,,,,,,,,,,
601,考古学,C,中央民族大学,南京师范大学,陕西师范大学,,,,,,,,,,,,,,,,,,,,,,,,
601,考古学,C-,北京师范大学,山西大学,安徽大学,北京联合大学,,,,,,,,,,,,,,,,,,,,,,,
602,中国史,A+,北京师范大学,复旦大学,,,,,,,,,,,,,,,,,,,,,,,,,
602,中国史,A,北京大学,南京大学,,,,,,,,,,,,,,,,,,,,,,,,,
602,中国史,A-,中国人民大学,南开大学,华中师范大学,中山大学,,,,,,,,,,,,,,,,,,,,,,,
602,中国史,B+,清华大学,首都师范大学,华东师范大学,厦门大学,山东大学,武汉大学,四川大学,陕西师范大学,,,,,,,,,,,,,,,,,,,
602,中国史,B,吉林大学,东北师范大学,上海师范大学,暨南大学,西南大学,云南大学,西北大学,兰州大学,,,,,,,,,,,,,,,,,,,
602,中国史,B-,中央民族大学,河北大学,南京师范大学,浙江大学,郑州大学,河南大学,湖南大学,湖南师范大学,,,,,,,,,,,,,,,,,,,
602,中国史,C+,天津师范大学,河北师范大学,山西大学,内蒙古大学,上海大学,苏州大学,福建师范大学,曲阜师范大学,西北师范大学,,,,,,,,,,,,,,,,,,
602,中国史,C,辽宁师范大学,上海交通大学,安徽大学,安徽师范大学,江西师范大学,湖北大学,华南师范大学,扬州大学,,,,,,,,,,,,,,,,,,,
602,中国史,C-,辽宁大学,,,,,,,,,,,,,,,,,,,,,,,,,,
602,中国史,C-,吉林师范大学,浙江师范大学,杭州师范大学,南昌大学,山东师范大学,四川师范大学,云南师范大学,,,,,,,,,,,,,,,,,,,,
603,世界史,A+,北京大学,华东师范大学,,,,,,,,,,,,,,,,,,,,,,,,,
603,世界史,A-,首都师范大学,南开大学,东北师范大学,,,,,,,,,,,,,,,,,,,,,,,,
603,世界史,B+,北京师范大学,天津师范大学,复旦大学,南京大学,武汉大学,西北大学,,,,,,,,,,,,,,,,,,,,,
603,世界史,B,中国人民大学,吉林大学,上海师范大学,浙江大学,厦门大学,四川大学,,,,,,,,,,,,,,,,,,,,,
603,世界史,B-,清华大学,上海大学,福建师范大学,华中师范大学,中山大学,陕西师范大学,,,,,,,,,,,,,,,,,,,,,
603,世界史,C+,延边大学,山东大学,郑州大学,暨南大学,华南师范大学,云南大学,,,,,,,,,,,,,,,,,,,,,
603,世界史,C,哈尔滨师范大学,苏州科技大学,浙江师范大学,山东师范大学,河南大学,,,,,,,,,,,,,,,,,,,,,,
603,世界史,C-,河北师范大学,辽宁大学,聊城大学,湖南师范大学,广西师范大学,西南大学,,,,,,,,,,,,,,,,,,,,,
701,数学,A+,北京大学,复旦大学,山东大学,,,,,,,,,,,,,,,,,,,,,,,,
701,数学,A,清华大学,北京师范大学,南开大学,上海交通大学,中国科学技术大学,西安交通大学,,,,,,,,,,,,,,,,,,,,,
701,数学,A-,吉林大学,哈尔滨工业大学,同济大学,华东师范大学,南京大学,浙江大学,武汉大学,中山大学,四川大学,,,,,,,,,,,,,,,,,,
